,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2008_state_gsms-Found,Server2008_state_gsms-Penalties,Server2008_state_gsms-Remaining,Server2008_state_gsms-Score,Server2008_state_gsms-Time,Server2008_state_gsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu14_state_sms-Found,Ubuntu14_state_sms-Penalties,Ubuntu14_state_sms-Remaining,Ubuntu14_state_sms-Score,Ubuntu14_state_sms-Time,Ubuntu14_state_sms-Warn,Windows10_state_sms-Found,Windows10_state_sms-Penalties,Windows10_state_sms-Remaining,Windows10_state_sms-Score,Windows10_state_sms-Time,Windows10_state_sms-Warn
289,,101.0,Middle School,289.0,05:37,3,15,0,23,45, 4:50,,LA,8.0,,10-4583,Middle School,16,0,18,40, 4:45,,12,3,26,16, 5:01,
290,,101.0,Middle School,290.0,05:36,3,9,1,29,31, 5:35,,SC,6.0,,10-4768,Middle School,10,0,24,27, 5:14,,16,0,22,43, 5:36,
291,,100.0,Middle School,291.0,02:46,3,11,0,27,30, 2:38,,VA,29.0,,10-4525,Middle School,14,0,20,44, 2:43,,12,0,26,26, 2:07,
292,,100.0,Middle School,292.0,05:34,3,16,0,22,39, 5:33,,TX,29.0,,10-3915,Middle School,12,0,22,31, 5:33,,14,0,24,30, 5:32,
293,,98.0,Middle School,293.0,05:53,3,9,0,29,21, 4:10,,RI,8.0,,10-0140,Middle School,9,0,25,26, 5:53,,21,0,17,51, 5:52,
294,,98.0,Middle School,294.0,05:52,3,15,0,23,43, 5:50,,AZ,5.0,,10-3234,Middle School,2,0,32,9, 5:52,,17,0,21,46, 5:51,
295,,98.0,Middle School,295.0,05:56,3,16,0,22,43, 5:55,,HI,13.0,,10-4967,Middle School,11,0,23,34, 5:50,,11,0,27,21, 5:52,
296,T,98.0,Middle School,296.0,06:06,3,12,0,26,25, 6:04,T,OH,6.0,,10-4039,Middle School,12,0,22,33, 6:04,T,15,0,23,40, 5:56,
297,,97.0,Middle School,297.0,03:51,3,9,0,29,25, 3:33,,TX,30.0,,10-0652,Middle School,8,0,26,25, 3:40,,16,0,22,47, 3:51,
298,,97.0,Middle School,298.0,05:32,3,17,1,21,27, 4:47,,CA,64.0,,10-4238,Middle School,15,0,19,36, 4:36,,16,0,22,34, 5:32,
299,,97.0,Middle School,299.0,04:58,3,6,0,32,12, 4:55,,SC,7.0,,10-4777,Middle School,16,0,18,41, 4:51,,17,0,21,44, 4:56,
300,,97.0,Middle School,300.0,05:37,3,13,1,25,23, 5:36,,OH,7.0,,10-3646,Middle School,12,0,22,37, 5:37,,18,0,20,37, 5:35,
301,,97.0,Middle School,301.0,05:39,3,13,0,25,40, 5:38,,CO,29.0,,10-1800,Middle School,12,0,22,27, 5:38,,11,0,27,30, 4:40,
302,,97.0,Middle School,302.0,05:53,3,10,0,28,33, 5:46,,HI,14.0,,10-4611,Middle School,11,0,23,30, 5:45,,15,0,23,34, 5:53,
303,T,97.0,Middle School,303.0,20:52,3,14,0,24,40, 2:06,,FL,6.0,,10-4291,Middle School,8,0,26,17, 2:37,,17,0,21,40,20:01,T
304,,96.0,Middle School,304.0,05:46,3,15,0,23,29, 5:44,,CA,65.0,,10-1449,Middle School,12,0,22,32, 5:46,,15,1,23,35, 5:42,
305,,96.0,Middle School,305.0,03:51,3,11,0,27,29, 3:43,,WV,1.0,,10-3633,Middle School,12,0,22,33, 3:48,,15,0,23,34, 3:51,
306,,96.0,Middle School,306.0,05:50,3,18,0,20,50, 5:50,,TX,31.0,,10-3736,Middle School,7,0,27,15, 5:29,,10,0,28,31, 5:48,
307,,96.0,Middle School,307.0,05:38,3,12,0,26,21, 5:36,,CA,66.0,,10-5128,Middle School,19,0,15,54, 5:38,,13,2,25,21, 5:36,
