,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2019_cpxiii_r1_hsms-**,Server2019_cpxiii_r1_hsms-Found,Server2019_cpxiii_r1_hsms-Penalties,Server2019_cpxiii_r1_hsms-Remaining,Server2019_cpxiii_r1_hsms-Score,Server2019_cpxiii_r1_hsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Windows10_cpxiii_r1_hsms-**,Windows10_cpxiii_r1_hsms-Found,Windows10_cpxiii_r1_hsms-Penalties,Windows10_cpxiii_r1_hsms-Remaining,Windows10_cpxiii_r1_hsms-Score,Windows10_cpxiii_r1_hsms-Time
44,44,,0,0,178,Middle School,44,04:48:57,2,,18,0,3,88, 3:32,CA,16,,13-4512,Middle School,178,,18,0,2,90, 4:32
45,45,,0,17.6,160,Middle School,45,05:50:57,2,,17,0,4,78, 5:50,CA,17,,13-3669,Middle School,177.6,,16,0,4,82, 5:49
46,46,,0,12.5,165,Middle School,46,05:45:57,2,,17,0,4,79, 5:42,CAN,1,,13-0262,Middle School,177.5,,17,0,3,86, 5:44
47,47,,0,6.4,171,Middle School,47,05:34:59,2,,17,0,4,84, 5:22,GA,9,Cryptic Crew,13-1715,Middle School,177.4,,17,0,3,87, 5:34
48,48,,0,12.4,165,Middle School,48,05:30:56,2,,16,0,5,79, 3:07,CA,18,,13-2994,Middle School,177.4,,17,0,3,86, 5:21
49,49,,0,14.2,163,Middle School,49,05:40:48,2,,16,0,5,80, 3:08,CA,19,,13-2972,Middle School,177.2,,16,0,4,83, 5:40
50,50,,0,3,174,Middle School,50,05:13:58,2,,18,0,3,89, 5:12,GA,10,,13-1903,Middle School,177,,17,0,3,85, 5:13
51,51,,0,12.8,164,Middle School,51,04:12:58,2,,18,0,3,87, 3:47,TX,8,,13-1703,Middle School,176.8,,15,0,5,77, 4:12
52,52,,0,6,170,Middle School,52,05:07:08,2,,17,0,4,85, 5:07,FL,2,,13-2284,Middle School,176,,17,0,3,85, 4:54
53,53,,0,0,176,Middle School,53,03:57:56,2,,17,0,4,76, 3:31,GA,11,,13-0664,Middle School,176,,20,0,0,100, 3:48
54,54,,0,0,175,Middle School,54,05:41:56,2,,16,0,5,80, 5:41,ID,1,,13-3394,Middle School,175,,19,0,1,95, 5:40
55,55,,0,6.4,168,Middle School,55,05:26:56,2,,17,0,4,78, 5:26,GA,12,,13-0769,Middle School,174.4,,18,0,2,90, 5:10
56,56,,0,0,174,Middle School,56,05:03:56,2,,18,0,3,89, 1:20,UT,1,,13-4200,Middle School,174,,17,0,3,85, 3:39
57,57,,0,4.8,168,Middle School,57,05:44:55,2,,20,0,1,96, 5:44,GA,13,,13-0863,Middle School,172.8,,14,0,6,72, 5:23
58,58,,0,9.2,163,Middle School,58,05:32:56,2,,15,0,6,77, 5:32,TX,9,,13-3473,Middle School,172.2,,17,0,3,86, 5:32
59,59,,0,3.2,169,Middle School,59,05:46:57,2,,17,0,4,83, 5:46,TX,10,,13-3476,Middle School,172.2,,17,0,3,86, 5:46
60,60,,0,6,166,Middle School,60,05:49:58,2,,16,0,5,79, 5:49,CA,20,,13-3906,Middle School,172,,17,0,3,87, 5:49
61,61,,0,6,166,Middle School,61,05:33:56,2,,16,0,5,79, 5:32,NC,1,,13-0369,Middle School,172,,17,0,3,87, 5:33
62,62,,0,15.4,156,Middle School,62,02:16:56,2,,16,0,5,74, 2:13,VA,2,,13-0384,Middle School,171.4,,16,0,4,82, 2:11
63,63,,0,11.4,160,Middle School,63,05:32:56,2,,14,0,7,65, 5:25,LA,2,,13-0671,Middle School,171.4,,19,0,1,95, 5:32
64,64,,0,13,158,Middle School,64,05:42:56,2,,16,0,5,72, 5:41,CAN,2,,13-4785,Middle School,171,,17,0,3,86, 5:42
65,65,,0,2.4,168,Middle School,65,05:32:57,2,,17,0,4,82, 3:52,CA,21,,13-2002,Middle School,170.4,,17,0,3,86, 5:32
66,66,,0,14.2,156,Middle School,66,04:17:56,2,,17,0,4,82, 4:17,TX,11,,13-2495,Middle School,170.2,,14,0,6,74, 1:51
67,67,,0,11.2,159,Middle School,67,05:48:57,2,,15,0,6,69, 5:47,CA,22,,13-1586,Middle School,170.2,,18,0,2,90, 5:06
68,68,,0,16.1,154,Middle School,68,05:37:57,2,,16,0,5,74, 5:35,CA,23,,13-2645,Middle School,170.1,,16,0,4,80, 5:36
69,69,,0,4.8,165,Middle School,69,05:55:56,2,,16,0,5,74, 4:33,AL,2,,13-3173,Middle School,169.8,,18,0,2,91, 5:55
70,70,,0,3.6,166,Middle School,70,05:55:59,2,,16,0,5,80, 4:08,CO,2,,13-3900,Middle School,169.6,,17,0,3,86, 5:55
71,71,,0,18.6,151,Middle School,71,05:54:56,2,,15,0,6,69, 5:54,VA,3,,13-3066,Middle School,169.6,,16,0,4,82, 5:54
72,72,,0,5.4,164,Middle School,72,05:19:55,2,,17,1,4,74, 5:19,GA,14,SIMS,13-3138,Middle School,169.4,,18,0,2,90, 3:55
73,73,T,10,3,156,Middle School,73,06:05:00,2,,17,0,4,84, 2:38,FL,3,,13-0684,Middle School,169,T,15,1,5,72, 6:05
74,74,T,0,2.4,166,Middle School,74,06:07:55,2,T,14,0,7,66, 6:05,TX,12,,13-4104,Middle School,168.4,,20,0,0,100, 5:00
75,75,,0,4.7,163,Middle School,75,05:37:56,2,,15,0,6,72, 4:22,AL,3,,13-0029,Middle School,167.7,,18,0,2,91, 5:27
76,76,,0,18.2,149,Middle School,76,05:10:57,2,,14,0,7,71, 4:32,CA,24,,13-0181,Middle School,167.2,,15,0,5,78, 5:10
