,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2019_cpxiii_r1_hsms-**,Server2019_cpxiii_r1_hsms-Found,Server2019_cpxiii_r1_hsms-Penalties,Server2019_cpxiii_r1_hsms-Remaining,Server2019_cpxiii_r1_hsms-Score,Server2019_cpxiii_r1_hsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Windows10_cpxiii_r1_hsms-**,Windows10_cpxiii_r1_hsms-Found,Windows10_cpxiii_r1_hsms-Penalties,Windows10_cpxiii_r1_hsms-Remaining,Windows10_cpxiii_r1_hsms-Score,Windows10_cpxiii_r1_hsms-Time
344,344,,0,0,54,Middle School,344,02:06:00,1,,,,,,,WY,2,,13-3276,Middle School,54,,12,0,8,54, 2:06
345,345,,0,0,54,Middle School,345,01:55:56,2,,2,0,19,7, 0:52,TX,53,,13-3206,Middle School,54,,8,0,12,47, 1:55
346,346,,0,0,54,Middle School,346,01:57:57,1,,,,,,,AR,3,,13-3001,Middle School,54,,11,0,9,54, 1:57
347,347,T,0,0,54,Middle School,347,10:35:56,1,,,,,,,GA,34,,13-0756,Middle School,54,T,11,0,9,54,10:35
348,348,,0,3.6,50,Middle School,348,04:24:57,1,,,,,,,CA,87,,13-4397,Middle School,53.6,,10,0,10,50, 4:24
349,349,,0,1.2,52,Middle School,349,05:57:57,1,,,,,,,CO,15,,13-0099,Middle School,53.2,,12,0,8,52, 5:57
350,350,,0,0,52,Middle School,350,04:16:56,1,,,,,,,ID,6,,13-4332,Middle School,52,,9,0,11,52, 4:16
351,351,,0,0,51,Middle School,351,03:18:56,1,,12,0,9,51, 3:18,MN,3,,13-3954,Middle School,51,,,,,,
352,352,,0,0,51,Middle School,352,04:01:56,2,,4,0,17,21, 4:01,AL,24,,13-4385,Middle School,51,,5,0,15,30, 0:41
353,353,,0,0,47,Middle School,353,04:59:57,1,,,,,,,CA,88,,13-4153,Middle School,47,,8,0,12,47, 4:59
354,354,T,0,0,47,Middle School,354,40:41:58,1,,,,,,,CO,16,,13-3277,Middle School,47,T,10,0,10,47,40:41:00
355,355,,0,0,45,Middle School,355,05:20:58,1,,,,,,,CA,89,,13-1994,Middle School,45,,8,0,12,45, 5:20
356,356,,0,0,44,Middle School,356,04:51:57,2,,4,0,17,16, 4:06,TX,54,,13-2856,Middle School,44,,5,0,15,28, 3:41
357,357,MT,0,0,43,Middle School,357,24:30:56,2,,10,0,11,41, 0:46,LA,15,,13-3074,Middle School,43,M,4,3,16,2, 0:31
358,358,,0,3,38,Middle School,358,03:17:57,1,,,,,,,CA,90,,13-0279,Middle School,41,,7,0,13,38, 3:17
359,359,T,0,0,39,Middle School,359,24:16:55,2,,8,0,13,31, 0:31,LA,16,,13-3253,Middle School,39,,2,0,18,8, 0:17
360,360,,0,0,38,Middle School,360,04:30:58,2,,4,3,17,1, 2:48,TX,55,,13-3202,Middle School,38,,8,0,12,37, 4:30
361,361,,0,0,38,Middle School,361,05:56:06,2,,4,0,17,15, 2:21,CA,91,,13-2780,Middle School,38,,4,0,16,23, 5:56
362,362,,0,0.6,37,Middle School,362,05:07:56,1,,,,,,,CA,92,,13-4360,Middle School,37.6,,6,0,14,37, 5:07
363,363,M,0,1.7,29,Middle School,363,04:46:58,1,,,,,,,IN,3,,13-2485,Middle School,30.7,M,7,0,13,29, 4:46
364,364,,0,0,30,Middle School,364,03:59:57,1,,,,,,,HI,11,,13-2196,Middle School,30,,7,0,13,30, 3:59
365,365,MT,0,0,29,Middle School,365,25:46:56,1,,,,,,,CO,17,,13-5020,Middle School,29,MT,4,0,16,29,25:46:00
366,366,,0,0,27,Middle School,366,03:54:08,2,,7,0,14,27, 3:54,MD,4,,13-4568,Middle School,27,,0,0,20,0, 0:51
367,367,,0,2.1,24,Middle School,367,01:54:55,2,,1,0,20,4, 0:27,NV,3,,13-4039,Middle School,26.1,,2,0,18,20, 1:18
368,368,,0,5.6,20,Middle School,368,05:35:56,2,,3,0,18,12, 5:35,CA,93,,13-2939,Middle School,25.6,,3,2,17,8, 4:48
369,369,,0,0,25,Middle School,369,02:35:57,1,,,,,,,TX,56,,13-3203,Middle School,25,,3,0,17,25, 2:35
370,370,,0,0,23,Middle School,370,05:57:56,2,,2,1,19,6, 2:50,TX,57,,13-3919,Middle School,23,,5,1,15,17, 5:57
371,371,M,0,0,23,Middle School,371,05:28:57,1,,,,,,,CO,18,,13-5021,Middle School,23,M,5,1,15,23, 5:28
372,372,,0,4.8,18,Middle School,372,03:11:59,1,,,,,,,CA,94,,13-4855,Middle School,22.8,,4,0,16,18, 3:11
373,373,,0,1.2,21,Middle School,373,05:31:02,2,,2,0,19,8, 5:30,OH,4,,13-2619,Middle School,22.2,,3,0,17,13, 5:31
374,374,T,0,0,22,Middle School,374,10:58:57,1,,,,,,,ND,1,,13-3260,Middle School,22,T,5,0,15,22,10:58
375,375,,0,0,22,Middle School,375,04:36:43,2,,1,0,20,4, 1:58,CA,95,,13-2976,Middle School,22,,3,0,17,18, 4:34
376,376,,0,0,18,Middle School,376,05:53:58,1,,,,,,,TX,58,,13-2382,Middle School,18,,4,0,16,18, 5:53
377,377,,0,4.2,13,Middle School,377,00:03:56,1,,,,,,,CA,96,,13-0280,Middle School,17.2,,3,0,17,13, 0:03
378,378,,0,4.2,10,Middle School,378,00:42:57,1,,,,,,,AR,4,,13-3781,Middle School,14.2,,6,3,14,10, 0:42
379,379,,0,0,13,Middle School,379,03:57:58,2,,1,0,20,4, 3:57,MD,5,,13-1197,Middle School,13,,2,0,18,9, 2:24
380,380,,0,0,12,Middle School,380,01:45:57,1,,3,0,18,12, 1:45,GA,35,SIMS,13-3141,Middle School,12,,,,,,
381,381,T,0,0,9,Middle School,381,24:38:56,2,,0,0,21,0, 0:41,LA,17,,13-3071,Middle School,9,,2,0,18,9, 1:34
382,382,,0,3.6,5,Middle School,382,04:27:02,1,,,,,,,OH,5,,13-1100,Middle School,8.6,,1,0,19,5, 4:27
383,383,,0,0,4,Middle School,383,04:57:56,2,,1,0,20,4, 1:45,CA,97,,13-2973,Middle School,4,,0,0,20,0, 1:20
384,384,M,0,0,4,Middle School,384,04:25:00,1,,,,,,,CA,98,,13-4362,Middle School,4,M,1,0,19,4, 4:25
385,385,T,0,1.2,0,Middle School,385,14:37:57,1,,,,,,,NV,4,,13-4040,Middle School,1.2,T,0,0,20,0,14:37
386,386,,0,0,0,Middle School,386,03:05:56,1,,,,,,,,1,,13-4738,Middle School,0,,0,0,20,0, 3:05
