,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_cpxii_sf_gsms-**,Server2016_cpxii_sf_gsms-Found,Server2016_cpxii_sf_gsms-Penalties,Server2016_cpxii_sf_gsms-Remaining,Server2016_cpxii_sf_gsms-Score,Server2016_cpxii_sf_gsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Ubuntu16_cpxii_sf_psms-**,Ubuntu16_cpxii_sf_psms-Found,Ubuntu16_cpxii_sf_psms-Penalties,Ubuntu16_cpxii_sf_psms-Remaining,Ubuntu16_cpxii_sf_psms-Score,Ubuntu16_cpxii_sf_psms-Time,Win10_cpxii_sf_gsms-**,Win10_cpxii_sf_gsms-Found,Win10_cpxii_sf_gsms-Penalties,Win10_cpxii_sf_gsms-Remaining,Win10_cpxii_sf_gsms-Score,Win10_cpxii_sf_gsms-Time
33,33,,0.00,21.36,137.0,Middle School,33.0,05:46:56,3,,12,0,18,39, 5:44,CA,20.0,,12-0804,Middle School,158.36,,22,0,14,61, 5:43,,11,0,25,37, 5:46
34,34,T,-3.00,22.05,139.0,Middle School,34.0,06:00:58,3,,14,0,16,43, 5:56,UT,1.0,,12-4611,Middle School,158.05,,13,0,23,29, 5:56,,24,0,12,67, 5:59
35,35,,0.00,8.75,149.0,Middle School,35.0,05:48:56,3,,17,0,13,55, 5:47,PA,1.0,,12-5816,Middle School,157.75,,16,0,20,47, 5:47,,16,0,20,47, 5:42
36,36,,0.00,7.50,148.0,Middle School,36.0,05:55:57,3,,13,0,17,42, 5:55,CA,21.0,,12-3338,Middle School,155.50,,17,0,19,49, 5:38,,20,0,16,57, 5:52
37,37,,0.00,8.00,147.0,Middle School,37.0,05:19:56,3,,13,0,17,41, 5:19,CA,22.0,,12-3967,Middle School,155.00,,19,0,17,60, 5:13,,14,0,22,46, 4:04
38,38,,0.00,21.36,132.0,Middle School,38.0,05:49:57,3,,13,0,17,32, 5:48,CA,23.0,,12-1118,Middle School,153.36,,15,0,21,41, 5:33,,24,0,12,59, 5:49
39,39,,0.00,8.00,142.0,Middle School,39.0,05:59:56,3,,16,0,14,52, 5:58,CA,24.0,,12-3203,Middle School,150.00,,26,1,10,50, 5:58,,16,0,20,40, 5:59
40,40,,0.00,12.73,137.0,Middle School,40.0,05:44:55,3,,16,0,14,52, 5:43,TX,2.0,,12-1186,Middle School,149.73,,17,0,19,38, 5:40,,20,0,16,47, 5:42
41,41,,0.00,19.63,129.0,Middle School,41.0,05:50:58,3,,13,0,17,39, 5:42,MD,3.0,,12-2732,Middle School,148.63,,20,0,16,50, 5:50,,13,0,23,40, 5:41
42,42,,0.00,25.03,123.0,Middle School,42.0,05:59:57,3,,10,1,20,24, 5:59,NJ,1.0,,12-1031,Middle School,148.03,,21,0,15,58, 5:25,,17,0,19,41, 5:43
43,43,,0.00,0.00,148.0,Middle School,43.0,05:34:57,3,,15,0,15,51, 5:29,GA,3.0,,12-0102,Middle School,148.00,,18,1,18,56, 5:33,,13,0,23,41, 5:31
44,44,,0.00,21.48,126.0,Middle School,44.0,05:46:56,3,,13,0,17,45, 5:46,TX,3.0,,12-1184,Middle School,147.48,,16,0,20,45, 5:43,,15,0,21,36, 5:45
45,45,,0.00,8.00,139.0,Middle School,45.0,05:43:01,3,,19,0,11,59, 5:39,PA,2.0,,12-5820,Middle School,147.00,,14,0,22,33, 5:43,,17,0,19,47, 5:38
46,46,,0.00,9.00,135.0,Middle School,46.0,04:48:14,3,,8,0,22,20, 2:25,CA,25.0,,12-2026,Middle School,144.00,,31,0,5,88, 4:48,,12,0,24,27, 4:37
47,47,,0.00,8.75,135.0,Middle School,47.0,04:43:10,3,,12,0,18,39, 4:39,CO,1.0,,12-7043,Middle School,143.75,,14,0,22,46, 4:39,,18,0,18,50, 4:41
48,48,,0.00,13.90,129.0,Middle School,48.0,05:53:00,3,,10,0,20,31, 5:50,GA,4.0,GBMS,12-3237,Middle School,142.90,,23,0,13,64, 5:53,,14,0,22,34, 5:44
49,49,,0.00,28.22,114.0,Middle School,49.0,05:57:57,3,,17,0,13,45, 5:57,CA,26.0,,12-1658,Middle School,142.22,,11,0,25,24, 5:52,,17,0,19,45, 5:57
50,50,,0.00,10.00,131.0,Middle School,50.0,05:58:57,3,,14,0,16,44, 5:55,CA,27.0,,12-6449,Middle School,141.00,,20,0,16,49, 5:57,,11,0,25,38, 5:58
51,51,T,-3.00,11.97,128.0,Middle School,51.0,06:00:01,3,,14,0,16,38, 5:58,AL,2.0,,12-0910,Middle School,136.97,,17,0,19,41, 5:59,,19,0,17,49, 5:58
52,52,,0.00,9.14,127.0,Middle School,52.0,05:08:59,3,,7,0,23,27, 5:07,FL,1.0,,12-0404,Middle School,136.14,,21,1,15,56, 5:08,,15,0,21,44, 4:39
53,53,T,-3.00,8.00,131.0,Middle School,53.0,06:07:51,3,T,9,0,21,32, 6:07,VA,3.0,,12-7464,Middle School,136.00,,18,0,18,56, 5:49,,14,0,22,43, 5:49
